"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"DO","Diamond Offshore Drilling, Inc.","9.42","1294669285.26","n/a","1995","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/do",
"DRH","Diamondrock Hospitality Company","10.62","2138789019.06","n/a","2005","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/drh",
"DSX","Diana Shipping inc.","2.45","254222659.95","n/a","2005","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/dsx",
"DSX^B","Diana Shipping inc.","23.65","0","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/dsx^b",
"DKS","Dick&#39;s Sporting Goods Inc","37.85","3720764992.1","n/a","2002","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/dks",
"DBD","Diebold Nixdorf Incorporated","9.31","712804397.48","n/a","n/a","Miscellaneous","Office Equipment/Supplies/Services","https://www.nasdaq.com/symbol/dbd",
"DLR","Digital Realty Trust, Inc.","111.99","23274192065.58","n/a","2004","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/dlr",
"DLR^C","Digital Realty Trust, Inc.","26.72","0","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/dlr^c",
"DLR^G","Digital Realty Trust, Inc.","25.3001","0","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/dlr^g",
"DLR^H.CL","Digital Realty Trust, Inc.","n/a","0","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/dlr^h.cl",
"DLR^I","Digital Realty Trust, Inc.","26.31","0","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/dlr^i",
"DLR^J","Digital Realty Trust, Inc.","23.62","0","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/dlr^j",
"DDS","Dillard&#39;s, Inc.","70.32","1849416000","n/a","n/a","Consumer Services","Department/Specialty Retail Stores","https://www.nasdaq.com/symbol/dds",
"DDT","Dillard&#39;s, Inc.","25.92","0","n/a","n/a","Consumer Services","Department/Specialty Retail Stores","https://www.nasdaq.com/symbol/ddt",
"DIN","Dine Brands Global, Inc.","92","1613127172","n/a","n/a","Consumer Services","Restaurants","https://www.nasdaq.com/symbol/din",
"DPLO","Diplomat Pharmacy, Inc.","5.9","439400594.3","n/a","2014","Health Care","Medical/Nursing Services","https://www.nasdaq.com/symbol/dplo",
"DFS","Discover Financial Services","69.88","22947660639.36","n/a","n/a","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/dfs",
"DNI","Dividend and Income Fund","11.32","139815221.76","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/dni",
"DLB","Dolby Laboratories","64.1","6577731559.7","n/a","2005","Miscellaneous","Multi-Sector Companies","https://www.nasdaq.com/symbol/dlb",
"DG","Dollar General Corporation","118.71","31206998933.01","n/a","2009","Consumer Services","Department/Specialty Retail Stores","https://www.nasdaq.com/symbol/dg",
"D","Dominion Energy, Inc.","75.73","60532055202.67","n/a","n/a","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/d",
"DCUD","Dominion Energy, Inc.","49.71","0","n/a","2016","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/dcud",
